0.369	0.020	0.098
0.367	0.020	0.033
0.368	0.020	0.073
0.371	0.042	0.164
0.319	0.020	0.198
0.370	0.020	0.122
0.369	0.020	0.108
0.370	0.020	0.157
0.371	0.042	0.174
0.369	0.020	0.083
0.318	0.020	0.161
0.370	0.020	0.145
0.369	0.020	0.083
0.367	0.020	0.020
0.367	0.049	0.020
0.315	0.020	0.034
0.366	0.020	0.020
0.366	0.020	0.020
0.365	0.020	0.049
0.366	0.050	0.047
0.364	0.020	0.081
0.313	0.020	0.023
0.365	0.020	0.036
0.366	0.020	0.020
0.366	0.050	0.030
0.366	0.020	0.020
0.306	0.020	0.328
0.369	0.020	0.108
0.371	0.020	0.192
0.370	0.020	0.142
0.370	0.043	0.144
0.369	0.020	0.093
0.315	0.020	0.029
0.367	0.020	0.043
0.366	0.020	0.020
0.365	0.051	0.069
0.365	0.020	0.056
0.156	0.332	0.036
0.208	0.333	0.050
0.208	0.333	0.035
0.155	0.331	0.020
0.208	0.278	0.037
0.155	0.331	0.020
0.208	0.333	0.035
0.207	0.332	0.020
0.154	0.330	0.020
0.208	0.333	0.035
0.207	0.332	0.020
0.153	0.273	0.086
0.199	0.320	0.312
0.203	0.325	0.173
0.154	0.330	0.020
0.206	0.329	0.064
0.206	0.329	0.064
0.154	0.274	0.046
0.208	0.333	0.028
0.155	0.330	0.020
0.207	0.331	0.020
0.206	0.330	0.039
0.156	0.332	0.026
0.207	0.276	0.020
0.207	0.332	0.020
0.159	0.336	0.150
0.217	0.347	0.398
0.212	0.338	0.184
0.152	0.327	0.098
0.207	0.331	0.020
0.156	0.277	0.038
0.207	0.331	0.020
0.210	0.335	0.092
0.156	0.332	0.036
0.208	0.333	0.035
0.210	0.335	0.100
0.155	0.276	0.020
0.208	0.333	0.050
0.207	0.331	0.020
0.154	0.330	0.020
0.207	0.331	0.020
0.155	0.331	0.020
0.207	0.276	0.020
0.207	0.332	0.020
0.155	0.331	0.020
0.206	0.330	0.043
0.206	0.330	0.039
0.155	0.331	0.020
0.207	0.331	0.020
0.207	0.276	0.032
0.020	0.385	0.048
0.020	0.384	0.029
0.020	0.385	0.052
0.051	0.385	0.044
0.020	0.384	0.045
0.020	0.330	0.054
0.020	0.385	0.052
0.020	0.383	0.020
0.051	0.386	0.051
0.020	0.383	0.020
0.020	0.387	0.102
0.020	0.330	0.054
0.049	0.383	0.020
0.020	0.386	0.092
0.020	0.384	0.027
0.020	0.387	0.102
0.020	0.383	0.020
0.049	0.327	0.054
0.020	0.387	0.102
0.020	0.383	0.020
0.020	0.385	0.052
0.051	0.385	0.036
0.020	0.383	0.020
0.020	0.326	0.060
0.020	0.383	0.020
0.020	0.377	0.154
0.047	0.379	0.112
0.020	0.382	0.020
0.020	0.383	0.020
0.020	0.330	0.049
0.049	0.383	0.020
0.020	0.382	0.027
0.020	0.382	0.020
0.020	0.382	0.027
0.020	0.380	0.062
0.047	0.324	0.126
0.020	0.380	0.062
0.020	0.378	0.126
0.020	0.378	0.126
0.048	0.381	0.078
0.020	0.382	0.020
0.020	0.325	0.075
0.365	0.052	0.077
0.364	0.020	0.079
0.362	0.020	0.150
0.363	0.020	0.136
0.363	0.020	0.136
0.311	0.054	0.118
0.363	0.020	0.121
0.363	0.020	0.136
0.364	0.020	0.086
0.363	0.020	0.143
0.363	0.020	0.128
0.364	0.053	0.119
0.363	0.020	0.121
0.363	0.020	0.121
0.365	0.020	0.071
0.363	0.020	0.121
0.365	0.051	0.069
0.363	0.020	0.121
0.363	0.020	0.121
0.314	0.020	0.021
0.365	0.020	0.056
0.367	0.049	0.020
0.365	0.020	0.071
0.366	0.020	0.020
0.367	0.020	0.043
0.366	0.020	0.020
0.367	0.020	0.043
0.369	0.045	0.094
0.369	0.020	0.108
0.369	0.020	0.093
0.368	0.020	0.058
0.369	0.020	0.093
0.315	0.049	0.020
0.366	0.020	0.020
0.365	0.020	0.041
0.366	0.020	0.020
0.367	0.020	0.020
0.362	0.056	0.188
0.366	0.020	0.020
0.367	0.020	0.033
0.366	0.020	0.020
0.367	0.020	0.033
0.368	0.047	0.040
0.368	0.020	0.053
0.369	0.020	0.083
0.316	0.020	0.069
0.370	0.020	0.140
0.372	0.020	0.229
0.374	0.037	0.298
0.371	0.020	0.182
0.370	0.020	0.153
0.369	0.020	0.096
0.368	0.020	0.058
0.368	0.047	0.055
0.370	0.020	0.135
0.365	0.020	0.041
0.368	0.020	0.058
0.368	0.020	0.058
0.370	0.044	0.124
0.317	0.020	0.108
0.368	0.020	0.073
0.368	0.020	0.058
0.370	0.020	0.122
0.368	0.020	0.058
0.370	0.043	0.139
0.368	0.020	0.073
0.370	0.020	0.137
0.370	0.020	0.152
0.371	0.020	0.172
0.373	0.039	0.253
0.373	0.020	0.251
0.372	0.020	0.202
0.319	0.020	0.188
0.371	0.020	0.187
0.373	0.040	0.228
